"","Ho","Hs","Ht","Dst","Htp","Dstp","Fst","Fstp","Fis","Dest"
"X9207_37",0.0294,0.1378,0.1359,-0.0019,0.134,-0.0038,-0.0139,-0.0282,0.7865,-0.0044
"X9263_34",0.1556,0.1479,0.1462,-0.0017,0.1444,-0.0035,-0.0119,-0.0241,-0.0516,-0.0041
"X9232_32",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X9233_22",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X9253_35",0.3056,0.3844,0.3922,0.0078,0.4,0.0156,0.0199,0.039,0.2051,0.0253
"X9266_34",0.4062,0.271,0.3269,0.0559,0.3828,0.1118,0.171,0.292,-0.499,0.1534
"X9268_13",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X9267_30",0.0278,0.1285,0.1337,0.0052,0.1389,0.0104,0.0388,0.0747,0.7839,0.0119
"X9278_19",0.125,0.1138,0.1194,0.0056,0.125,0.0112,0.0468,0.0894,-0.0981,0.0126
"X9279_15",0.1667,0.1804,0.2013,0.0209,0.2222,0.0418,0.1039,0.1883,0.0761,0.051
"X9280_16",0.0294,0.1839,0.1772,-0.0066,0.1706,-0.0133,-0.0375,-0.0779,0.8401,-0.0163
"X9283_24",0.0312,0.1421,0.1492,0.0071,0.1562,0.0141,0.0474,0.0905,0.7801,0.0165
"X9222_24",0.1,0.0936,0.0968,0.0032,0.1,0.0064,0.0329,0.0636,-0.068,0.007
"X19862_21",0.0714,0.1312,0.137,0.0058,0.1429,0.0117,0.0427,0.0819,0.4554,0.0135
"X9230_11",0.2255,0.3627,0.4738,0.1111,0.585,0.2223,0.2345,0.38,0.3783,0.3488
"X19863_6",0,0.0683,0.0675,-8e-04,0.0667,-0.0016,-0.012,-0.0244,1,-0.0017
"X9235_7",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0056,0.0112,-0.0113,6e-04
"X9245_13",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X9395_24",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X9288_39",0.2778,0.3395,0.4406,0.1011,0.5417,0.2022,0.2294,0.3732,0.1818,0.3061
"X9291_16",0.1,0.0934,0.0967,0.0033,0.1,0.0066,0.0343,0.0663,-0.071,0.0073
"X9306_38",0.125,0.1143,0.1197,0.0053,0.125,0.0107,0.0445,0.0853,-0.0932,0.012
"X9314_18",0.1667,0.2115,0.4669,0.2554,0.7222,0.5107,0.547,0.7071,0.212,0.6477
"X9315_40",0.0312,0.0317,0.0315,-2e-04,0.0313,-4e-04,-0.0066,-0.0133,0.0131,-4e-04
"X9318_15",0.25,0.2774,0.4751,0.1977,0.6728,0.3955,0.4162,0.5878,0.0986,0.5473
"X9320_11",0.1889,0.2134,0.4942,0.2808,0.775,0.5616,0.5682,0.7247,0.1148,0.714
"X9323_11",0.1556,0.1479,0.1462,-0.0017,0.1444,-0.0035,-0.0119,-0.0241,-0.0516,-0.0041
"X9331_33",0.4667,0.4815,0.5074,0.0259,0.5333,0.0518,0.051,0.0971,0.0309,0.0999
"X9346_37",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X9351_38",0.1438,0.1378,0.1361,-0.0017,0.1344,-0.0034,-0.0127,-0.0256,-0.043,-0.004
"X9358_18",0.0556,0.1492,0.1579,0.0087,0.1667,0.0175,0.0553,0.1048,0.6277,0.0205
"X9359_17",0.5286,0.3432,0.4502,0.107,0.5571,0.214,0.2377,0.3841,-0.5403,0.3258
"X9360_25",0.1389,0.1238,0.1314,0.0075,0.1389,0.0151,0.0573,0.1084,-0.1216,0.0172
"X9366_41",0.0625,0.2142,0.2071,-0.0071,0.2,-0.0142,-0.0344,-0.0712,0.7083,-0.0181
"X9368_8",0.1794,0.2921,0.4196,0.1275,0.5471,0.2549,0.3038,0.466,0.3858,0.3601
"X9371_28",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X19899_20",0.1544,0.2508,0.243,-0.0077,0.2353,-0.0155,-0.0318,-0.0657,0.3842,-0.0206
"X19901_22",0.0312,0.0317,0.0315,-2e-04,0.0313,-4e-04,-0.0066,-0.0133,0.0131,-4e-04
"X9386_20",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X9389_15",0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
"X9392_23",0.0333,0.0967,0.0983,0.0017,0.1,0.0033,0.0169,0.0333,0.6552,0.0037
"X9391_36",0.1056,0.1039,0.502,0.398,0.9,0.7961,0.7929,0.8845,-0.0155,0.8884
"X9397_40",0.1,0.0939,0.097,0.003,0.1,0.0061,0.0314,0.061,-0.0649,0.0067
"X9405_7",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X9406_17",0.0938,0.0883,0.091,0.0027,0.0937,0.0054,0.0298,0.0578,-0.0614,0.0059
"X9294_12",0.0625,0.1163,0.1206,0.0044,0.125,0.0087,0.0361,0.0697,0.4625,0.0099
"X9295_33",0.0385,0.1114,0.1134,0.002,0.1154,0.004,0.0177,0.0348,0.6547,0.0045
"X9297_28",0.35,0.2536,0.3518,0.0982,0.45,0.1964,0.2791,0.4364,-0.38,0.2631
"X9308_32",0.1,0.0936,0.0968,0.0032,0.1,0.0064,0.0329,0.0636,-0.068,0.007
"X9329_38",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X9328_17",0.1333,0.2623,0.2548,-0.0075,0.2472,-0.0151,-0.0296,-0.0611,0.4917,-0.0205
"X9335_28",0.1125,0.2629,0.2721,0.0092,0.2812,0.0184,0.0338,0.0653,0.5721,0.0249
"X9336_7",0.1833,0.4079,0.4206,0.0127,0.4333,0.0255,0.0303,0.0588,0.5505,0.043
"X9463_22",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X9462_10",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X9420_13",0.0294,0.0878,0.088,2e-04,0.0882,4e-04,0.0023,0.0047,0.6651,5e-04
"X9429_23",0,0.0683,0.0675,-8e-04,0.0667,-0.0016,-0.012,-0.0244,1,-0.0017
"X9431_28",0.0625,0.1652,0.4888,0.3237,0.8125,0.6473,0.6621,0.7967,0.6216,0.7754
"X19922_28",0,0.0846,0.084,-6e-04,0.0833,-0.0013,-0.0076,-0.0154,1,-0.0014
"X9448_32",0.0625,0.1644,0.1759,0.0116,0.1875,0.0231,0.0658,0.1234,0.6197,0.0277
"X19928_34",0.2,0.2341,0.2837,0.0496,0.3333,0.0992,0.1748,0.2976,0.1458,0.1295
"X9449_37",0.0278,0.0817,0.0825,8e-04,0.0833,0.0017,0.0101,0.0201,0.6598,0.0018
"X9452_37",0.1429,0.14,0.1363,-0.0037,0.1327,-0.0073,-0.0269,-0.0554,-0.0204,-0.0085
"X9458_10",0.1786,0.1967,0.2234,0.0266,0.25,0.0533,0.1193,0.2132,0.0922,0.0663
"X9518_27",0.4762,0.3554,0.3682,0.0128,0.381,0.0256,0.0347,0.0671,-0.34,0.0397
"X19941_34",0.0769,0.0742,0.0755,0.0014,0.0769,0.0028,0.0183,0.0359,-0.0372,0.003
"X9493_21",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X9495_19",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X9496_24",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X19943_22",0.0882,0.0836,0.0859,0.0023,0.0882,0.0047,0.0271,0.0527,-0.0556,0.0051
"X9502_12",0.0312,0.0317,0.0315,-2e-04,0.0313,-4e-04,-0.0066,-0.0133,0.0131,-4e-04
"X9513_39",0.1394,0.2021,0.5025,0.3004,0.8029,0.6007,0.5977,0.7482,0.3103,0.7529
"X9516_8",0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
"X9517_39",0.4833,0.3137,0.443,0.1293,0.5722,0.2585,0.2918,0.4518,-0.5409,0.3767
"X9519_10",0,0.0982,0.0991,9e-04,0.1,0.0018,0.0092,0.0182,1,0.002
"X9523_32",0.125,0.2002,0.2251,0.0249,0.25,0.0498,0.1107,0.1994,0.3755,0.0623
"X9540_31",0.1676,0.1571,0.1565,-6e-04,0.1559,-0.0012,-0.004,-0.008,-0.0669,-0.0015
"X9563_8",0.0278,0.1257,0.124,-0.0017,0.1222,-0.0035,-0.014,-0.0285,0.779,-0.004
"X19953_36",0.1,0.0953,0.0976,0.0024,0.1,0.0047,0.0242,0.0472,-0.0495,0.0052
"X19959_9",0.0714,0.2529,0.305,0.0521,0.3571,0.1043,0.171,0.292,0.7175,0.1396
"X9575_40",0.0294,0.0861,0.0872,0.0011,0.0882,0.0021,0.0121,0.024,0.6585,0.0023
"X9596_38",0.2265,0.3125,0.4195,0.107,0.5265,0.214,0.2551,0.4065,0.2752,0.3113
"X9620_28",0.4,0.2436,0.3218,0.0782,0.4,0.1564,0.2429,0.3909,-0.6418,0.2067
"X9632_27",0.1176,0.108,0.1128,0.0048,0.1176,0.0097,0.0428,0.0821,-0.0895,0.0108
"X9644_12",0.0385,0.1107,0.113,0.0024,0.1154,0.0047,0.0209,0.0409,0.6525,0.0053
"X9645_23",0.1528,0.1423,0.1441,0.0017,0.1458,0.0035,0.0121,0.024,-0.0734,0.0041
"X9666_41",0.1294,0.2535,0.2827,0.0291,0.3118,0.0582,0.103,0.1868,0.4896,0.078
"X9604_32",0.4071,0.4715,0.5072,0.0357,0.5429,0.0714,0.0704,0.1315,0.1365,0.135
"X9608_7",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X9610_29",0.0556,0.1851,0.2036,0.0186,0.2222,0.0371,0.0912,0.1672,0.6998,0.0456
"X9630_9",0.2143,0.2578,0.4146,0.1568,0.5714,0.3136,0.3782,0.5488,0.1688,0.4226
"X9638_37",0.1429,0.14,0.1363,-0.0037,0.1327,-0.0073,-0.0269,-0.0554,-0.0204,-0.0085
"X9639_40",0.1625,0.1545,0.1523,-0.0023,0.15,-0.0045,-0.0149,-0.0303,-0.0514,-0.0054
"X9643_25",0.0294,0.0861,0.0872,0.0011,0.0882,0.0021,0.0121,0.024,0.6585,0.0023
"X9658_29",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X9660_18",0.0556,0.0547,0.0551,4e-04,0.0556,8e-04,0.0076,0.0152,-0.0154,9e-04
"X9664_19",0.125,0.1603,0.1739,0.0136,0.1875,0.0272,0.0782,0.1451,0.2202,0.0324
"X9725_8",0.2674,0.479,0.5017,0.0226,0.5243,0.0453,0.0451,0.0863,0.4419,0.0869
"X9726_30",0.1382,0.133,0.1312,-0.0018,0.1294,-0.0036,-0.0138,-0.0279,-0.0392,-0.0042
"X9744_33",0.0294,0.0297,0.0296,-2e-04,0.0294,-3e-04,-0.0056,-0.0112,0.0111,-3e-04
"X19985_23",0.3542,0.4047,0.4732,0.0685,0.5417,0.1369,0.1447,0.2528,0.125,0.23
"X9747_10",0.0278,0.0826,0.083,4e-04,0.0833,7e-04,0.0045,0.0089,0.6637,8e-04
"X9753_10",0.2024,0.1806,0.1855,0.005,0.1905,0.0099,0.0267,0.052,-0.1208,0.0121
"X19970_11",0.0312,0.0319,0.0316,-3e-04,0.0312,-7e-04,-0.0111,-0.0224,0.0219,-7e-04
"X9679_13",0.1778,0.2753,0.271,-0.0043,0.2667,-0.0087,-0.016,-0.0325,0.3543,-0.012
"X9678_9",0.0294,0.0297,0.0296,-2e-04,0.0294,-3e-04,-0.0056,-0.0112,0.0111,-3e-04
"X9682_15",0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
"X9683_36",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X9684_7",0.15,0.2402,0.4901,0.2499,0.74,0.4998,0.51,0.6755,0.3754,0.6578
"X9688_23",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X9691_24",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X9693_8",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X9695_33",0.5556,0.4865,0.484,-0.0025,0.4815,-0.0051,-0.0052,-0.0105,-0.1419,-0.0098
"X9694_33",0.1048,0.3737,0.4368,0.0632,0.5,0.1263,0.1446,0.2527,0.7196,0.2017
"X9698_36",0.125,0.1603,0.1739,0.0136,0.1875,0.0272,0.0782,0.1451,0.2202,0.0324
"X19974_26",0,0.0695,0.0681,-0.0014,0.0667,-0.0028,-0.0208,-0.0426,1,-0.003
"X9704_14",0.0833,0.1663,0.1804,0.0141,0.1944,0.0281,0.0779,0.1446,0.499,0.0337
"X9754_19",0,0.1358,0.1393,0.0035,0.1429,0.0071,0.0254,0.0495,1,0.0082
"X9776_18",0.0588,0.1102,0.1139,0.0037,0.1176,0.0074,0.0326,0.0631,0.4663,0.0083
"X9807_34",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X20003_14",0.0556,0.2167,0.2472,0.0306,0.2778,0.0611,0.1236,0.22,0.7436,0.078
"X9832_12",0,0.0638,0.0631,-6e-04,0.0625,-0.0013,-0.0101,-0.0204,1,-0.0014
"X9892_36",0.0625,0.061,0.0618,7e-04,0.0625,0.0015,0.012,0.0238,-0.0244,0.0016
"X9997_33",0.1429,0.3412,0.5009,0.1598,0.6607,0.3196,0.319,0.4837,0.5812,0.485
"X10012_19",0.0278,0.0282,0.028,-2e-04,0.0278,-4e-04,-0.0075,-0.0152,0.0149,-4e-04
"X10018_6",0.0556,0.0547,0.0551,4e-04,0.0556,8e-04,0.0076,0.0152,-0.0154,9e-04
"X10029_7",0.2611,0.4098,0.3994,-0.0105,0.3889,-0.021,-0.0262,-0.0539,0.3629,-0.0355
"X10034_13",0.0667,0.0648,0.0658,9e-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
"X10035_27",0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
"X19986_36",0.2333,0.2127,0.5022,0.2895,0.7917,0.579,0.5765,0.7313,-0.0971,0.7354
"X9761_6",0.3034,0.3627,0.4014,0.0387,0.4402,0.0775,0.0965,0.176,0.1634,0.1216
"X9791_17",0.2222,0.2316,0.2825,0.0509,0.3333,0.1017,0.1801,0.3052,0.0405,0.1324
"X9793_33",0.0556,0.1483,0.1575,0.0092,0.1667,0.0184,0.0584,0.1104,0.6253,0.0216
"X9795_20",0,0.0987,0.0994,6e-04,0.1,0.0013,0.0064,0.0127,1,0.0014
"X19996_35",0.05,0.0496,0.0498,2e-04,0.05,4e-04,0.0039,0.0078,-0.0079,4e-04
"X9798_37",0.2222,0.178,0.2001,0.0221,0.2222,0.0442,0.1104,0.1988,-0.2481,0.0537
"X19997_9",0.125,0.1141,0.1196,0.0054,0.125,0.0109,0.0455,0.087,-0.0953,0.0123
"X9800_28",0.3715,0.387,0.4817,0.0947,0.5764,0.1894,0.1966,0.3287,0.0399,0.309
"X9804_24",0.0294,0.0888,0.0885,-3e-04,0.0882,-6e-04,-0.0032,-0.0064,0.6688,-6e-04
"X9805_30",0.1111,0.2377,0.4522,0.2145,0.6667,0.429,0.4743,0.6435,0.5326,0.5627
"X25178_23",0.0385,0.0387,0.0386,-1e-04,0.0385,-2e-04,-0.0032,-0.0063,0.0063,-3e-04
"X9816_28",0.25,0.2497,0.2637,0.0141,0.2778,0.0281,0.0533,0.1012,-0.0013,0.0375
"X9818_25",0.2857,0.2563,0.3425,0.0861,0.4286,0.1722,0.2515,0.4019,-0.1146,0.2316
"X9821_8",0.1875,0.1583,0.4854,0.3271,0.8125,0.6542,0.6739,0.8052,-0.1847,0.7772
"X9854_8",0.0333,0.0967,0.0983,0.0017,0.1,0.0033,0.0169,0.0333,0.6552,0.0037
"X9857_26",0.0667,0.0648,0.0658,9e-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
"X20017_22",0.0938,0.0883,0.091,0.0027,0.0937,0.0054,0.0298,0.0578,-0.0614,0.0059
"X9872_40",0.0333,0.0972,0.0986,0.0014,0.1,0.0028,0.0144,0.0285,0.6569,0.0032
"X9878_8",0.2,0.1656,0.4828,0.3172,0.8,0.6344,0.657,0.793,-0.2075,0.7603
"X9882_40",0.1056,0.1541,0.1521,-0.0021,0.15,-0.0041,-0.0136,-0.0277,0.3152,-0.0049
"X9883_17",0.0625,0.0612,0.0618,7e-04,0.0625,0.0013,0.0106,0.0209,-0.0214,0.0014
"X20025_18",0.0312,0.0316,0.0314,-2e-04,0.0312,-3e-04,-0.0051,-0.0102,0.0101,-3e-04
"X9901_6",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X20028_26",0.1,0.0937,0.0969,0.0031,0.1,0.0063,0.0323,0.0625,-0.0667,0.0069
"X9909_18",0.3333,0.2721,0.2819,0.0098,0.2917,0.0196,0.0347,0.0671,-0.2251,0.0269
"X9911_37",0.1278,0.3052,0.4859,0.1808,0.6667,0.3615,0.372,0.5423,0.5813,0.5203
"X9925_37",0.2556,0.2126,0.4859,0.2733,0.7593,0.5467,0.5625,0.72,-0.202,0.6943
"X9930_19",0,0.0601,0.0595,-7e-04,0.0588,-0.0013,-0.0111,-0.0224,1,-0.0014
"X9938_6",0.0588,0.1102,0.1139,0.0037,0.1176,0.0074,0.0326,0.0631,0.4663,0.0083
"X9940_29",0.2743,0.5113,0.4953,-0.0161,0.4792,-0.0322,-0.0325,-0.0672,0.4636,-0.0659
"X9944_26",0.1825,0.4478,0.4898,0.042,0.5317,0.0839,0.0857,0.1578,0.5924,0.152
"X20031_19",0.0312,0.0317,0.0315,-2e-04,0.0313,-4e-04,-0.0066,-0.0133,0.0131,-4e-04
"X9949_11",0,0.0569,0.0562,-7e-04,0.0556,-0.0013,-0.0119,-0.0241,1,-0.0014
"X9953_30",0.2875,0.3191,0.3345,0.0155,0.35,0.0309,0.0462,0.0883,0.099,0.0454
"X9960_22",0.25,0.2235,0.2229,-6e-04,0.2222,-0.0013,-0.0028,-0.0057,-0.1186,-0.0016
"X20035_8",0.1071,0.1579,0.1682,0.0104,0.1786,0.0207,0.0616,0.116,0.3213,0.0246
"X9965_12",0.0556,0.0547,0.0551,4e-04,0.0556,8e-04,0.0076,0.0152,-0.0154,9e-04
"X9969_22",0.1,0.2235,0.2617,0.0383,0.3,0.0765,0.1461,0.255,0.5526,0.0985
"X9975_24",0.1667,0.2348,0.2374,0.0026,0.24,0.0052,0.0108,0.0215,0.2903,0.0067
"X22709_12",0.2788,0.4298,0.513,0.0832,0.5962,0.1663,0.1621,0.279,0.3513,0.2917
"X9982_11",0,0.0569,0.0562,-7e-04,0.0556,-0.0013,-0.0119,-0.0241,1,-0.0014
"X9985_33",0.0294,0.0301,0.0298,-3e-04,0.0294,-7e-04,-0.0115,-0.0234,0.0228,-7e-04
"X9986_22",0.3278,0.2865,0.3933,0.1067,0.5,0.2135,0.2714,0.4269,-0.1439,0.2992
"X9987_13",0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
"X9989_31",0.2778,0.246,0.3174,0.0715,0.3889,0.1429,0.2251,0.3675,-0.1293,0.1895
"X9993_22",0.0357,0.036,0.0359,-1e-04,0.0357,-3e-04,-0.0039,-0.0078,0.0078,-3e-04
"X10106_41",0.0556,0.1521,0.1483,-0.0038,0.1444,-0.0077,-0.026,-0.0533,0.6348,-0.0091
"X10109_20",0.1405,0.1326,0.1333,7e-04,0.134,0.0014,0.0052,0.0103,-0.0597,0.0016
"X20046_35",0.0312,0.0316,0.0314,-2e-04,0.0312,-3e-04,-0.0051,-0.0102,0.0101,-3e-04
"X10044_15",0.1,0.094,0.497,0.403,0.9,0.806,0.8108,0.8955,-0.0634,0.8896
"X10046_38",0.0278,0.1285,0.1337,0.0052,0.1389,0.0104,0.0388,0.0747,0.7839,0.0119
"X10050_22",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X10058_16",0.1471,0.1726,0.1892,0.0166,0.2059,0.0333,0.0879,0.1617,0.148,0.0402
"X10060_38",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X10069_12",0.2667,0.2885,0.2842,-0.0042,0.28,-0.0085,-0.0149,-0.0303,0.0756,-0.0119
"X10076_39",0.0333,0.0343,0.0338,-5e-04,0.0333,-9e-04,-0.014,-0.0283,0.0275,-0.001
"X10087_23",0,0.0725,0.072,-6e-04,0.0714,-0.0011,-0.0078,-0.0156,1,-0.0012
"X10091_8",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X10093_29",0.0278,0.1285,0.1337,0.0052,0.1389,0.0104,0.0388,0.0747,0.7839,0.0119
"X10101_41",0.0312,0.0316,0.0314,-2e-04,0.0312,-3e-04,-0.0051,-0.0102,0.0101,-3e-04
"X10211_29",0.2167,0.2833,0.3167,0.0333,0.35,0.0667,0.1053,0.1905,0.2353,0.093
"X10157_31",0.1882,0.177,0.1738,-0.0032,0.1706,-0.0064,-0.0185,-0.0378,-0.0633,-0.0078
"X10160_39",0.1,0.1711,0.1856,0.0144,0.2,0.0289,0.0779,0.1445,0.4155,0.0349
"X10202_26",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0061,0.012,-0.0122,6e-04
"X10206_10",0.0769,0.0744,0.0757,0.0013,0.0769,0.0025,0.0168,0.033,-0.0341,0.0027
"X10208_11",0.2167,0.3583,0.4992,0.1408,0.64,0.2817,0.2821,0.4401,0.3953,0.439
"X10229_10",0.2812,0.2681,0.3138,0.0456,0.3594,0.0912,0.1454,0.2539,-0.0489,0.1247
"X10168_14",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X10246_13",0.0625,0.159,0.1545,-0.0045,0.15,-0.009,-0.029,-0.0598,0.6068,-0.0107
"X20073_30",0.3034,0.3431,0.3617,0.0186,0.3803,0.0373,0.0515,0.0979,0.1156,0.0567
"X10259_39",0.0938,0.3216,0.5112,0.1897,0.7009,0.3793,0.371,0.5412,0.7084,0.5591
"X10260_26",0.25,0.2284,0.2236,-0.0048,0.2188,-0.0097,-0.0217,-0.0443,-0.0943,-0.0126
"X10271_20",0,0.0569,0.0562,-7e-04,0.0556,-0.0013,-0.0119,-0.0241,1,-0.0014
"X10279_18",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0061,0.012,-0.0122,6e-04
"X10280_31",0,0.1134,0.1155,0.0021,0.1176,0.0042,0.0182,0.0357,1,0.0047
"X23946_17",0.1714,0.2942,0.4828,0.1886,0.6714,0.3772,0.3907,0.5618,0.4173,0.5345
"X10317_19",0.2463,0.4186,0.4391,0.0205,0.4596,0.041,0.0467,0.0892,0.4115,0.0705
"X10296_21",0.0938,0.0883,0.091,0.0027,0.0937,0.0054,0.0298,0.0578,-0.0614,0.0059
"X10300_16",0.1471,0.1299,0.1385,0.0086,0.1471,0.0171,0.0619,0.1166,-0.132,0.0197
"X10301_39",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X10318_16",0.1667,0.2406,0.2869,0.0464,0.3333,0.0928,0.1616,0.2783,0.3072,0.1222
"X10325_28",0.4,0.2436,0.3218,0.0782,0.4,0.1564,0.2429,0.3909,-0.6418,0.2067
"X10359_27",0.3889,0.4938,0.4844,-0.0094,0.475,-0.0188,-0.0194,-0.0397,0.2125,-0.0372
"X10358_30",0.0812,0.0811,0.0796,-0.0015,0.0781,-0.0029,-0.0184,-0.0376,-0.0024,-0.0032
"X10360_14",0.2812,0.2586,0.3637,0.1051,0.4687,0.2101,0.2889,0.4483,-0.0875,0.2834
"X10363_33",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X10333_15",0.3444,0.2936,0.2898,-0.0037,0.2861,-0.0075,-0.0129,-0.0261,-0.1733,-0.0106
"X20096_36",0.0667,0.0648,0.0658,9e-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
"X10334_27",0.1312,0.1251,0.1251,-1e-04,0.125,-1e-04,-4e-04,-9e-04,-0.0491,-1e-04
"X10340_40",0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
"X10341_37",0.2222,0.2619,0.3532,0.0913,0.4444,0.1826,0.2585,0.4108,0.1514,0.2473
"X10344_25",0.1667,0.1439,0.1553,0.0114,0.1667,0.0227,0.0732,0.1364,-0.1579,0.0265
"X10367_17",0.0278,0.0817,0.0825,8e-04,0.0833,0.0017,0.0101,0.0201,0.6598,0.0018
"X10380_9",0.0625,0.061,0.0618,7e-04,0.0625,0.0015,0.012,0.0238,-0.0244,0.0016
"X10412_26",0.0556,0.1048,0.1079,0.0032,0.1111,0.0064,0.0295,0.0572,0.4696,0.0071
"X10425_7",0.2222,0.179,0.2006,0.0216,0.2222,0.0433,0.1078,0.1947,-0.2417,0.0527
"X10365_36",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0061,0.012,-0.0122,6e-04
"X10369_18",0.05,0.0495,0.0498,2e-04,0.05,5e-04,0.0046,0.0091,-0.0092,5e-04
"X10374_17",0.1667,0.2012,0.2024,0.0013,0.2037,0.0025,0.0062,0.0124,0.1715,0.0032
"X10378_12",0.25,0.3103,0.3505,0.0401,0.3906,0.0803,0.1145,0.2055,0.1944,0.1164
"X20102_39",0,0.0846,0.084,-6e-04,0.0833,-0.0013,-0.0076,-0.0154,1,-0.0014
"X10386_10",0.1333,0.2436,0.2385,-0.0052,0.2333,-0.0103,-0.0216,-0.0442,0.4527,-0.0136
"X10390_32",0.2571,0.2977,0.3006,0.003,0.3036,0.0059,0.0098,0.0195,0.1361,0.0084
"X10391_32",0.2571,0.2977,0.3006,0.003,0.3036,0.0059,0.0098,0.0195,0.1361,0.0084
"X10416_10",0.25,0.2366,0.2933,0.0567,0.35,0.1134,0.1934,0.3241,-0.0568,0.1486
"X10417_14",0.1,0.0934,0.0967,0.0033,0.1,0.0066,0.0343,0.0663,-0.071,0.0073
"X10449_17",0.6083,0.4248,0.4291,0.0043,0.4333,0.0085,0.0099,0.0196,-0.432,0.0148
"X10455_22",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X10454_10",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X10450_27",0.0278,0.0817,0.0825,8e-04,0.0833,0.0017,0.0101,0.0201,0.6598,0.0018
"X10453_41",0.1071,0.0996,0.1034,0.0038,0.1071,0.0075,0.0364,0.0703,-0.0756,0.0084
"X10459_16",0.0294,0.0297,0.0296,-2e-04,0.0294,-3e-04,-0.0056,-0.0112,0.0111,-3e-04
"X10461_27",0.127,0.3997,0.5133,0.1137,0.627,0.2273,0.2214,0.3626,0.6823,0.3787
