locus,Ho,Hs,Ht,Dst,Htp,Dstp,Fst,Fstp,Fis,Dest
10553_30,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
10589_14,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
10826_18,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
11067_36,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
11286_16,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
11353_6,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
11407_21,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
11537_13,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
11673_28,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
11721_14,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
11831_33,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
13110_33,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
13320_27,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
13445_28,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
13464_35,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
13903_9,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
14139_22,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
14189_28,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
14214_28,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
14277_16,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
14296_40,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
14406_31,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
14653_11,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
14825_35,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
14873_28,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
14914_33,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
14965_32,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
15128_14,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
15422_14,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
15800_20,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
15856_25,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
15915_28,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
16149_8,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
16287_8,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
16413_19,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
16509_36,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
16704_12,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
16800_30,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
16899_31,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
16965_12,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
17015_31,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
17202_16,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
17258_14,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
17829_14,0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
10870_9,0.0909,0.0866,0.0887,0.0022,0.0909,0.0043,0.0245,0.0477,-0.0501,0.0048
21018_16,0.0909,0.0866,0.0887,0.0022,0.0909,0.0043,0.0245,0.0477,-0.0501,0.0048
13891_41,0,0.119,0.122,0.003,0.125,0.006,0.0244,0.0476,1,0.0068
3199_10,0.0778,0.3731,0.3824,0.0093,0.3917,0.0186,0.0243,0.0474,0.7915,0.0296
7448_39,0.1,0.0953,0.0976,0.0024,0.1,0.0047,0.0242,0.0472,-0.0495,0.0052
19953_36,0.1,0.0953,0.0976,0.0024,0.1,0.0047,0.0242,0.0472,-0.0495,0.0052
20231_32,0.3654,0.4764,0.4882,0.0118,0.5,0.0236,0.0242,0.0472,0.233,0.0451
20605_18,0.1,0.0953,0.0976,0.0024,0.1,0.0047,0.0242,0.0472,-0.0495,0.0052
19042_19,0.2625,0.2263,0.2319,0.0056,0.2375,0.0112,0.0241,0.0471,-0.1599,0.0145
16885_14,0.2917,0.503,0.5154,0.0124,0.5278,0.0247,0.024,0.0469,0.4202,0.0498
12870_9,0.0882,0.0841,0.0862,0.0021,0.0882,0.0041,0.0238,0.0466,-0.0488,0.0045
13413_36,0.0882,0.0841,0.0862,0.0021,0.0882,0.0041,0.0238,0.0466,-0.0488,0.0045
3643_7,0.0385,0.1101,0.1127,0.0026,0.1154,0.0053,0.0234,0.0457,0.6507,0.0059
8732_7,0.0385,0.1101,0.1127,0.0026,0.1154,0.0053,0.0234,0.0457,0.6507,0.0059
20681_38,0.0385,0.1101,0.1127,0.0026,0.1154,0.0053,0.0234,0.0457,0.6507,0.0059
7352_33,0.0833,0.0795,0.0814,0.0019,0.0833,0.0038,0.0233,0.0455,-0.0476,0.0041
8320_11,0.0833,0.0795,0.0814,0.0019,0.0833,0.0038,0.0233,0.0455,-0.0476,0.0041
11865_17,0.0833,0.0795,0.0814,0.0019,0.0833,0.0038,0.0233,0.0455,-0.0476,0.0041
17007_41,0.0833,0.0795,0.0814,0.0019,0.0833,0.0038,0.0233,0.0455,-0.0476,0.0041
18097_8,0.0625,0.1195,0.1222,0.0028,0.125,0.0055,0.0226,0.0441,0.4769,0.0063
16006_34,0.0625,0.1195,0.1222,0.0028,0.125,0.0055,0.0226,0.0441,0.4769,0.0063
39_36,0.085,0.3032,0.3101,0.0069,0.317,0.0138,0.0222,0.0434,0.7198,0.0198
4735_19,0.0833,0.1772,0.1812,0.004,0.1852,0.008,0.0221,0.0432,0.5297,0.0097
4705_19,0.0833,0.1772,0.1812,0.004,0.1852,0.008,0.0221,0.0432,0.5297,0.0097
4716_19,0.0833,0.1772,0.1812,0.004,0.1852,0.008,0.0221,0.0432,0.5297,0.0097
7729_19,0.0833,0.1772,0.1812,0.004,0.1852,0.008,0.0221,0.0432,0.5297,0.0097
7732_19,0.0833,0.1772,0.1812,0.004,0.1852,0.008,0.0221,0.0432,0.5297,0.0097
11823_30,0.0833,0.1772,0.1812,0.004,0.1852,0.008,0.0221,0.0432,0.5297,0.0097
3484_36,0.2778,0.4999,0.511,0.0112,0.5222,0.0224,0.0219,0.0428,0.4443,0.0447
11612_26,0.1833,0.1659,0.1696,0.0037,0.1733,0.0074,0.0219,0.0428,-0.105,0.0089
8748_41,0,0.1368,0.1398,0.003,0.1429,0.0061,0.0217,0.0426,1,0.007
7638_39,0.0882,0.0845,0.0864,0.0019,0.0882,0.0037,0.0215,0.0421,-0.0439,0.0041
13527_27,0.0833,0.0798,0.0816,0.0017,0.0833,0.0035,0.0214,0.042,-0.0438,0.0038
18102_25,0,0.1128,0.1152,0.0024,0.1176,0.0049,0.0212,0.0415,1,0.0055
852_28,0,0.1278,0.1306,0.0028,0.1333,0.0055,0.0212,0.0415,1,0.0063
1192_8,0,0.1128,0.1152,0.0024,0.1176,0.0049,0.0212,0.0415,1,0.0055
18233_11,0.0833,0.0799,0.0816,0.0017,0.0833,0.0034,0.0211,0.0413,-0.0431,0.0037
2070_39,0.0833,0.0799,0.0816,0.0017,0.0833,0.0034,0.0211,0.0413,-0.0431,0.0037
20912_14,0.0833,0.0799,0.0816,0.0017,0.0833,0.0034,0.0211,0.0413,-0.0431,0.0037
9644_12,0.0385,0.1107,0.113,0.0024,0.1154,0.0047,0.0209,0.0409,0.6525,0.0053
12294_9,0.0385,0.1107,0.113,0.0024,0.1154,0.0047,0.0209,0.0409,0.6525,0.0053
11464_23,0.1556,0.2238,0.2286,0.0048,0.2333,0.0095,0.0208,0.0407,0.305,0.0122
13936_14,0.4062,0.4908,0.5013,0.0104,0.5117,0.0209,0.0208,0.0408,0.1723,0.041
3608_18,0.0357,0.103,0.1051,0.0021,0.1071,0.0042,0.0199,0.0391,0.6531,0.0047
4962_35,0.0357,0.103,0.1051,0.0021,0.1071,0.0042,0.0199,0.0391,0.6531,0.0047
5053_38,0.0357,0.103,0.1051,0.0021,0.1071,0.0042,0.0199,0.0391,0.6531,0.0047
7269_9,0.0357,0.103,0.1051,0.0021,0.1071,0.0042,0.0199,0.0391,0.6531,0.0047
19821_10,0.0357,0.103,0.1051,0.0021,0.1071,0.0042,0.0199,0.0391,0.6531,0.0047
9253_35,0.3056,0.3844,0.3922,0.0078,0.4,0.0156,0.0199,0.039,0.2051,0.0253
12493_13,0.0357,0.103,0.1051,0.0021,0.1071,0.0042,0.0199,0.0391,0.6531,0.0047
13535_40,0.0357,0.103,0.1051,0.0021,0.1071,0.0042,0.0199,0.0391,0.6531,0.0047
15919_15,0.0357,0.103,0.1051,0.0021,0.1071,0.0042,0.0199,0.0391,0.6531,0.0047
16210_38,0.0357,0.103,0.1051,0.0021,0.1071,0.0042,0.0199,0.0391,0.6531,0.0047
14226_28,0.085,0.179,0.1827,0.0036,0.1863,0.0072,0.0198,0.0388,0.5254,0.0088
5543_8,0.2944,0.2885,0.2942,0.0058,0.3,0.0115,0.0196,0.0384,-0.0206,0.0162
7881_31,0.0833,0.0801,0.0817,0.0016,0.0833,0.0032,0.0196,0.0385,-0.04,0.0035
24288_17,0.0833,0.0801,0.0817,0.0016,0.0833,0.0032,0.0196,0.0385,-0.04,0.0035
21637_37,0.0833,0.0801,0.0817,0.0016,0.0833,0.0032,0.0196,0.0385,-0.04,0.0035
3022_36,0.1857,0.1684,0.1717,0.0033,0.175,0.0066,0.0192,0.0376,-0.1027,0.0079
1473_14,0.2095,0.44,0.4486,0.0086,0.4571,0.0171,0.0191,0.0375,0.5238,0.0306
8526_6,0.0588,0.1133,0.1155,0.0022,0.1176,0.0044,0.019,0.0373,0.4806,0.0049
20157_8,0.2438,0.2858,0.2913,0.0055,0.2969,0.0111,0.019,0.0374,0.1471,0.0155
20927_36,0,0.1204,0.1227,0.0023,0.125,0.0046,0.0186,0.0364,1,0.0052
10998_27,0.125,0.3985,0.406,0.0075,0.4135,0.015,0.0185,0.0363,0.6863,0.0249
7876_26,0,0.1071,0.1091,0.002,0.1111,0.004,0.0184,0.0361,1,0.0045
4454_18,0.0769,0.0742,0.0755,0.0014,0.0769,0.0028,0.0183,0.0359,-0.0372,0.003
5457_20,0.0769,0.0742,0.0755,0.0014,0.0769,0.0028,0.0183,0.0359,-0.0372,0.003
19435_14,0.0769,0.0742,0.0755,0.0014,0.0769,0.0028,0.0183,0.0359,-0.0372,0.003
19941_34,0.0769,0.0742,0.0755,0.0014,0.0769,0.0028,0.0183,0.0359,-0.0372,0.003
10691_9,0.0769,0.0742,0.0755,0.0014,0.0769,0.0028,0.0183,0.0359,-0.0372,0.003
10822_34,0.0769,0.0742,0.0755,0.0014,0.0769,0.0028,0.0183,0.0359,-0.0372,0.003
7474_32,0,0.1134,0.1155,0.0021,0.1176,0.0042,0.0182,0.0357,1,0.0047
10280_31,0,0.1134,0.1155,0.0021,0.1176,0.0042,0.0182,0.0357,1,0.0047
11402_39,0,0.1134,0.1155,0.0021,0.1176,0.0042,0.0182,0.0357,1,0.0047
4945_10,0.2167,0.193,0.1965,0.0035,0.2,0.007,0.0179,0.0351,-0.1228,0.0087
7644_15,0.2167,0.193,0.1965,0.0035,0.2,0.007,0.0179,0.0351,-0.1228,0.0087
15229_25,0.2167,0.193,0.1965,0.0035,0.2,0.007,0.0179,0.0351,-0.1228,0.0087
9295_33,0.0385,0.1114,0.1134,0.002,0.1154,0.004,0.0177,0.0348,0.6547,0.0045
13125_10,0.1588,0.2271,0.2312,0.0041,0.2353,0.0082,0.0177,0.0349,0.3006,0.0106
20801_6,0,0.1207,0.1228,0.0022,0.125,0.0043,0.0175,0.0345,1,0.0049
15521_27,0,0.1207,0.1228,0.0022,0.125,0.0043,0.0175,0.0345,1,0.0049
15975_33,0.2611,0.3863,0.3931,0.0069,0.4,0.0137,0.0175,0.0343,0.324,0.0224
22408_27,0.0357,0.1035,0.1053,0.0018,0.1071,0.0037,0.0174,0.0342,0.6549,0.0041
12995_19,0.3611,0.2952,0.3004,0.0052,0.3056,0.0104,0.0173,0.034,-0.2234,0.0147
5041_34,0.2833,0.2898,0.2949,0.0051,0.3,0.0102,0.0172,0.0338,0.0225,0.0143
190_38,0.0333,0.0967,0.0983,0.0017,0.1,0.0033,0.0169,0.0333,0.6552,0.0037
2321_13,0.0333,0.0967,0.0983,0.0017,0.1,0.0033,0.0169,0.0333,0.6552,0.0037
2546_26,0.0333,0.0967,0.0983,0.0017,0.1,0.0033,0.0169,0.0333,0.6552,0.0037
2651_31,0.0333,0.0967,0.0983,0.0017,0.1,0.0033,0.0169,0.0333,0.6552,0.0037
18571_7,0.0333,0.0967,0.0983,0.0017,0.1,0.0033,0.0169,0.0333,0.6552,0.0037
6216_36,0.0333,0.0967,0.0983,0.0017,0.1,0.0033,0.0169,0.0333,0.6552,0.0037
6865_30,0.0333,0.0967,0.0983,0.0017,0.1,0.0033,0.0169,0.0333,0.6552,0.0037
9392_23,0.0333,0.0967,0.0983,0.0017,0.1,0.0033,0.0169,0.0333,0.6552,0.0037
9854_8,0.0333,0.0967,0.0983,0.0017,0.1,0.0033,0.0169,0.0333,0.6552,0.0037
10720_24,0.0333,0.0967,0.0983,0.0017,0.1,0.0033,0.0169,0.0333,0.6552,0.0037
10955_23,0.0333,0.0967,0.0983,0.0017,0.1,0.0033,0.0169,0.0333,0.6552,0.0037
15275_13,0.0333,0.0967,0.0983,0.0017,0.1,0.0033,0.0169,0.0333,0.6552,0.0037
15997_24,0.0333,0.0967,0.0983,0.0017,0.1,0.0033,0.0169,0.0333,0.6552,0.0037
21399_29,0.0333,0.0967,0.0983,0.0017,0.1,0.0033,0.0169,0.0333,0.6552,0.0037
6272_35,0.0769,0.0744,0.0757,0.0013,0.0769,0.0025,0.0168,0.033,-0.0341,0.0027
19305_19,0.0769,0.0744,0.0757,0.0013,0.0769,0.0025,0.0168,0.033,-0.0341,0.0027
10206_10,0.0769,0.0744,0.0757,0.0013,0.0769,0.0025,0.0168,0.033,-0.0341,0.0027
11793_12,0.0769,0.0744,0.0757,0.0013,0.0769,0.0025,0.0168,0.033,-0.0341,0.0027
12693_26,0.0769,0.0744,0.0757,0.0013,0.0769,0.0025,0.0168,0.033,-0.0341,0.0027
20676_40,0.0769,0.0744,0.0757,0.0013,0.0769,0.0025,0.0168,0.033,-0.0341,0.0027
20780_20,0.0769,0.0744,0.0757,0.0013,0.0769,0.0025,0.0168,0.033,-0.0341,0.0027
17729_9,0.1111,0.3653,0.3715,0.0062,0.3778,0.0125,0.0168,0.033,0.6958,0.0196
11709_8,0.3105,0.2624,0.2668,0.0044,0.2712,0.0088,0.0166,0.0326,-0.1832,0.012
17072_11,0.2341,0.2074,0.2108,0.0034,0.2143,0.0069,0.0163,0.0321,-0.1289,0.0087
5025_16,0,0.1291,0.1312,0.0021,0.1333,0.0043,0.0162,0.0319,1,0.0049
13825_40,0.5,0.4975,0.5057,0.0082,0.5139,0.0164,0.0162,0.032,-0.0051,0.0327
4762_40,0.1875,0.3481,0.3537,0.0057,0.3594,0.0113,0.016,0.0315,0.4613,0.0174
18249_21,0.0714,0.0692,0.0703,0.0011,0.0714,0.0022,0.0159,0.0312,-0.0323,0.0024
1471_21,0.0714,0.0692,0.0703,0.0011,0.0714,0.0022,0.0159,0.0312,-0.0323,0.0024
18441_36,0.0714,0.0692,0.0703,0.0011,0.0714,0.0022,0.0159,0.0312,-0.0323,0.0024
18807_9,0.0714,0.0692,0.0703,0.0011,0.0714,0.0022,0.0159,0.0312,-0.0323,0.0024
8201_10,0.0714,0.0692,0.0703,0.0011,0.0714,0.0022,0.0159,0.0312,-0.0323,0.0024
20198_22,0.0714,0.0692,0.0703,0.0011,0.0714,0.0022,0.0159,0.0312,-0.0323,0.0024
10837_19,0.0714,0.0692,0.0703,0.0011,0.0714,0.0022,0.0159,0.0312,-0.0323,0.0024
20625_26,0.0714,0.0692,0.0703,0.0011,0.0714,0.0022,0.0159,0.0312,-0.0323,0.0024
13880_36,0.0833,0.0807,0.082,0.0013,0.0833,0.0026,0.0159,0.0312,-0.0323,0.0028
15601_12,0.0714,0.0692,0.0703,0.0011,0.0714,0.0022,0.0159,0.0312,-0.0323,0.0024
17796_36,0.101,0.2049,0.2082,0.0033,0.2115,0.0066,0.0159,0.0313,0.5073,0.0083
1413_22,0.0778,0.1643,0.1669,0.0026,0.1694,0.0052,0.0155,0.0306,0.5265,0.0062
1426_7,0.0778,0.1643,0.1669,0.0026,0.1694,0.0052,0.0155,0.0306,0.5265,0.0062
15775_34,0.0778,0.1643,0.1669,0.0026,0.1694,0.0052,0.0155,0.0306,0.5265,0.0062
16063_39,0.0778,0.1643,0.1669,0.0026,0.1694,0.0052,0.0155,0.0306,0.5265,0.0062
13136_31,0.1741,0.1602,0.1627,0.0025,0.1652,0.0049,0.0152,0.0299,-0.0866,0.0059
19647_15,0,0.1213,0.1231,0.0019,0.125,0.0037,0.0151,0.0297,1,0.0042
12071_9,0,0.1213,0.1231,0.0019,0.125,0.0037,0.0151,0.0297,1,0.0042
13005_26,0.35,0.4852,0.4926,0.0074,0.5,0.0148,0.015,0.0296,0.2787,0.0287
2726_39,0.0769,0.0747,0.0758,0.0011,0.0769,0.0023,0.0149,0.0294,-0.0303,0.0024
19133_35,0.0833,0.0809,0.0821,0.0012,0.0833,0.0025,0.0149,0.0294,-0.0303,0.0027
20336_35,0.0769,0.0747,0.0758,0.0011,0.0769,0.0023,0.0149,0.0294,-0.0303,0.0024
15830_12,0.0769,0.0747,0.0758,0.0011,0.0769,0.0023,0.0149,0.0294,-0.0303,0.0024
15888_19,0.0769,0.0747,0.0758,0.0011,0.0769,0.0023,0.0149,0.0294,-0.0303,0.0024
16516_19,0.0769,0.0747,0.0758,0.0011,0.0769,0.0023,0.0149,0.0294,-0.0303,0.0024
4064_35,0.1875,0.2158,0.219,0.0032,0.2222,0.0064,0.0146,0.0287,0.1313,0.0081
4511_28,0.0889,0.1835,0.1862,0.0027,0.1889,0.0054,0.0146,0.0287,0.5155,0.0066
4832_22,0.0889,0.1835,0.1862,0.0027,0.1889,0.0054,0.0146,0.0287,0.5155,0.0066
5843_32,0.2167,0.1943,0.1971,0.0029,0.2,0.0057,0.0145,0.0287,-0.1153,0.0071
528_6,0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
1281_10,0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
1625_27,0.0333,0.0972,0.0986,0.0014,0.1,0.0028,0.0144,0.0285,0.6569,0.0032
2102_41,0.0333,0.0972,0.0986,0.0014,0.1,0.0028,0.0144,0.0285,0.6569,0.0032
3114_11,0.0833,0.081,0.0822,0.0012,0.0833,0.0024,0.0144,0.0283,-0.0291,0.0026
3328_34,0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
4256_34,0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
5000_37,0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
6944_32,0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
7428_17,0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
19511_41,0.0333,0.0972,0.0986,0.0014,0.1,0.0028,0.0144,0.0285,0.6569,0.0032
7773_17,0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
8509_27,0,0.1143,0.116,0.0017,0.1176,0.0033,0.0144,0.0283,1,0.0038
8657_33,0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
9133_31,0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
9872_40,0.0333,0.0972,0.0986,0.0014,0.1,0.0028,0.0144,0.0285,0.6569,0.0032
20142_40,0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
20205_15,0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
11283_22,0.0714,0.0694,0.0704,0.001,0.0714,0.002,0.0144,0.0284,-0.0292,0.0022
12028_23,0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
12390_20,0.0714,0.0694,0.0704,0.001,0.0714,0.002,0.0144,0.0284,-0.0292,0.0022
22978_29,0.0333,0.0972,0.0986,0.0014,0.1,0.0028,0.0144,0.0285,0.6569,0.0032
13467_13,0.0833,0.081,0.0822,0.0012,0.0833,0.0024,0.0144,0.0283,-0.0291,0.0026
14062_39,0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
14238_31,0.0714,0.0694,0.0704,0.001,0.0714,0.002,0.0144,0.0284,-0.0292,0.0022
20987_26,0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
21125_34,0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
15527_20,0.0714,0.0694,0.0704,0.001,0.0714,0.002,0.0144,0.0284,-0.0292,0.0022
16668_29,0.1625,0.2307,0.2341,0.0034,0.2375,0.0068,0.0144,0.0285,0.2957,0.0088
16690_40,0.2056,0.3886,0.3943,0.0057,0.4,0.0114,0.0144,0.0284,0.4711,0.0186
17188_34,0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
17864_25,0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
3378_21,0.3971,0.4632,0.4698,0.0067,0.4765,0.0133,0.0142,0.028,0.1427,0.0248
6715_31,0.0357,0.1041,0.1056,0.0015,0.1071,0.003,0.0142,0.0281,0.657,0.0034
21252_13,0.0357,0.1041,0.1056,0.0015,0.1071,0.003,0.0142,0.0281,0.657,0.0034
649_25,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
1621_31,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
2038_13,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
3764_18,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
4094_23,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
4053_15,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
4240_31,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
5253_24,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
6652_32,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
7396_41,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
19853_39,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
10034_13,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
9857_26,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
20096_36,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
20137_39,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
10728_14,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
20377_7,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
12174_41,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
15349_11,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
16064_15,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
16696_13,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
21569_7,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
16930_18,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
17483_35,0.0667,0.0648,0.0658,9.00E-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
15588_18,0,0.1217,0.1233,0.0017,0.125,0.0033,0.0136,0.0267,1,0.0038
18542_7,0.0794,0.1661,0.1683,0.0023,0.1706,0.0045,0.0134,0.0264,0.5219,0.0054
7969_40,0.0794,0.1661,0.1683,0.0023,0.1706,0.0045,0.0134,0.0264,0.5219,0.0054
17790_37,0.0794,0.1661,0.1683,0.0023,0.1706,0.0045,0.0134,0.0264,0.5219,0.0054
2822_14,0.5208,0.3854,0.3906,0.0052,0.3958,0.0104,0.0133,0.0263,-0.3514,0.0169
18972_15,0.1111,0.2526,0.2559,0.0033,0.2593,0.0067,0.0131,0.0258,0.5601,0.0089
2218_25,0.1303,0.2415,0.2447,0.0032,0.2479,0.0064,0.013,0.0257,0.4607,0.0084
10661_6,0.3812,0.4996,0.506,0.0065,0.5125,0.0129,0.0128,0.0252,0.2368,0.0258
290_33,0.0714,0.0697,0.0705,9.00E-04,0.0714,0.0018,0.0125,0.0248,-0.0254,0.0019
19691_40,0.0714,0.0697,0.0705,9.00E-04,0.0714,0.0018,0.0125,0.0248,-0.0254,0.0019
10599_19,0.0714,0.0697,0.0705,9.00E-04,0.0714,0.0018,0.0125,0.0248,-0.0254,0.0019
20363_21,0.0714,0.0697,0.0705,9.00E-04,0.0714,0.0018,0.0125,0.0248,-0.0254,0.0019
